Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
F,63,African American,College,50K -- 100K,South,Resort,2016-01-18,2016-01-21,2015-09-05,1,2,0,BB,Yes,Yes,Refundable,Direct,Yes,Check-In,Yes,10,141
F,39,caucasian,College,>100K,North,City Hotel,2016-01-18,2016-01-19,2015-09-03,2,1,1,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,187
M,70,Latino,College,25K --50K,South,Resort,2016-01-18,2016-01-19,2015-09-03,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,No,0,122
F,33,African American,Grad,50K -- 100K,South,Airport Hotels,2016-01-18,2016-01-19,2015-09-03,5,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,130
M,23,Asian American,High-School,50K -- 100K,West,Airport Hotels,2016-01-18,2016-01-21,2015-09-05,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,176
F,70,Latino,Mid-School,>100K,North,Resort,2016-01-18,2016-01-19,2015-09-03,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,226
M,44,Asian American,Mid-School,50K -- 100K,North,City Hotel,2016-01-18,2016-01-20,2015-09-04,2,1,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,217
M,58,Latino,Mid-School,50K -- 100K,West,City Hotel,2016-04-13,2016-04-15,2016-03-28,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,213
M,50,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,2016-04-07,2016-04-11,2015-12-23,2,1,1,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,25,129
M,26,African American,Mid-School,25K --50K,South,Airport Hotels,2016-03-30,2016-03-31,2016-03-04,2,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,154
M,54,Latino,High-School,50K -- 100K,South,City Hotel,2016-04-21,2016-04-22,2016-02-26,4,1,0,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,40,248
F,59,Asian American,High-School,50K -- 100K,South,City Hotel,2016-04-19,2016-04-22,2016-04-09,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,136
F,43,caucasian,High-School,25K --50K,North,Resort,2016-01-27,2016-01-29,2015-10-28,4,1,0,BB,No,No,Non-Refundable,Agent,No,Check-In,Yes,20,141
M,38,Latino,Mid-School,50K -- 100K,West,City Hotel,2016-01-27,2016-01-30,2015-10-29,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,5,192
M,65,African American,College,25K --50K,West,City Hotel,2016-01-27,2016-01-30,2015-10-29,2,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,20,124
F,63,Asian American,College,50K -- 100K,South,City Hotel,2016-04-19,2016-04-20,2016-04-07,1,2,0,BB,Yes,No,Refundable,Direct,No,Check-In,Yes,40,217
F,62,African American,Grad,<25K,South,Resort,2016-04-21,2016-04-22,2016-02-26,2,1,2,BB,Yes,No,Non-Refundable,Direct,Yes,Check-In,Yes,5,138
M,58,Asian American,High-School,<25K,South,Resort,2016-04-23,2016-04-25,2016-04-22,3,2,0,BB,Yes,No,No Deposit,Agent,No,Check-In,No,0,244
M,33,Asian American,High-School,<25K,South,City Hotel,2016-04-28,2016-05-02,2016-04-25,1,2,1,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,197
M,31,Asian American,Mid-School,50K -- 100K,North,Resort,2016-04-28,2016-04-29,2015-10-23,2,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,25,120
M,43,caucasian,College,50K -- 100K,East,Airport Hotels,2016-03-22,2016-03-24,2015-09-17,3,2,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,30,199
F,27,Latino,College,25K --50K,East,Resort,2016-03-22,2016-03-26,2015-09-19,2,3,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,100
F,67,African American,Grad,50K -- 100K,East,City Hotel,2016-03-22,2016-03-24,2015-09-17,5,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,15,241
M,66,caucasian,College,50K -- 100K,South,Resort,2016-03-22,2016-03-23,2015-09-16,2,2,1,BB,Yes,No,Refundable,Direct,Yes,Check-In,Yes,10,233
M,38,Latino,High-School,<25K,North,Resort,2016-03-11,2016-03-12,2015-09-05,2,1,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,15,184
F,40,caucasian,High-School,<25K,South,City Hotel,2016-03-22,2016-03-25,2015-09-18,2,1,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,20,117
M,46,Asian American,High-School,<25K,North,Airport Hotels,2016-03-22,2016-03-24,2015-09-17,3,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,189
F,32,Asian American,Mid-School,<25K,East,City Hotel,2016-03-22,2016-03-24,2015-09-17,3,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,115
F,26,Asian American,High-School,<25K,South,City Hotel,2016-04-28,2016-04-29,2015-10-23,4,1,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,174
F,39,African American,Mid-School,<25K,West,Resort,2016-04-28,2016-04-29,2015-10-23,1,2,0,BB,Yes,No,No Deposit,Agent,No,Check-In,Yes,15,163
M,19,caucasian,High-School,25K --50K,South,City Hotel,2016-03-22,2016-03-24,2015-09-17,2,1,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,10,198
M,36,African American,Mid-School,50K -- 100K,North,Airport Hotels,2016-03-22,2016-03-25,2015-09-18,1,2,0,BB,No,No,No Deposit,Online,No,Check-In,No,0,173
M,39,Asian American,Mid-School,<25K,North,City Hotel,2016-03-11,2016-03-14,2015-09-07,4,2,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,10,123
F,49,African American,Mid-School,<25K,North,City Hotel,2016-04-28,2016-04-30,2015-10-24,1,2,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,20,167
M,47,Asian American,College,25K --50K,North,City Hotel,2016-03-11,2016-03-12,2015-09-05,5,1,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,10,239
M,22,African American,College,25K --50K,South,City Hotel,2016-03-22,2016-03-24,2015-09-17,3,3,0,BB,Yes,No,Non-Refundable,Online,Yes,Check-In,Yes,40,213
F,63,Latino,Grad,>100K,South,City Hotel,2016-03-22,2016-03-26,2015-09-19,5,1,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,40,246
M,35,Latino,College,25K --50K,South,Airport Hotels,2016-04-26,2016-04-27,2016-03-31,2,3,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,247
F,50,Asian American,Mid-School,<25K,South,Resort,2016-03-23,2016-03-24,2016-01-31,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,208
F,68,African American,Mid-School,25K --50K,East,Resort,2016-04-25,2016-04-27,2016-04-16,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,20,166
M,53,Latino,Mid-School,<25K,West,Airport Hotels,2016-04-13,2016-04-15,2016-03-20,4,3,0,HB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,154
F,70,caucasian,Grad,<25K,South,City Hotel,2016-04-03,2016-04-05,2016-02-12,3,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,5,108
M,68,Latino,College,>100K,South,Airport Hotels,2016-05-10,2016-05-11,2015-11-14,1,3,0,HB,No,No,Refundable,Direct,Yes,Check-In,Yes,15,198
M,21,African American,High-School,<25K,South,City Hotel,2016-04-22,2016-04-24,2016-04-18,4,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,40,104
F,21,Latino,High-School,25K --50K,West,Resort,2016-04-26,2016-04-27,2016-04-21,2,1,0,BB,No,No,Refundable,Direct,No,Check-In,Yes,30,182
M,22,Latino,Grad,50K -- 100K,North,City Hotel,2016-03-16,2016-03-19,2015-09-22,3,2,2,BB,No,No,Refundable,Online,Yes,Check-In,No,0,238
M,18,Asian American,College,<25K,North,City Hotel,2016-04-27,2016-04-28,2016-04-16,2,2,1,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,10,214
F,35,Latino,High-School,50K -- 100K,East,City Hotel,2016-04-27,2016-04-28,2016-04-16,1,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,166
M,31,Latino,College,<25K,South,Resort,2016-04-15,2016-04-16,2016-04-04,3,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,140
F,58,African American,Mid-School,<25K,South,Resort,2016-03-08,2016-03-09,2015-12-11,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,119
M,20,Asian American,College,<25K,South,Airport Hotels,2016-04-15,2016-04-16,2016-04-04,1,1,0,HB,No,No,Refundable,Online,Yes,Check-In,Yes,25,228
F,60,Asian American,Grad,>100K,South,Resort,2016-04-15,2016-04-16,2016-04-04,3,2,1,HB,No,No,Refundable,Online,Yes,Check-In,Yes,10,165
F,38,African American,Mid-School,<25K,South,City Hotel,2016-04-15,2016-04-16,2016-04-04,2,2,1,HB,Yes,No,Refundable,Online,Yes,Check-In,Yes,40,224
F,38,Asian American,Mid-School,<25K,West,Airport Hotels,2016-01-29,2016-02-02,2015-11-03,2,3,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,208
F,68,Latino,Mid-School,50K -- 100K,North,City Hotel,2016-04-26,2016-04-28,2015-10-02,4,2,2,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,105
F,49,Asian American,High-School,25K --50K,East,Airport Hotels,2016-04-27,2016-04-28,2016-01-22,3,1,0,FB,No,No,No Deposit,Direct,No,Check-In,No,0,235
F,31,Asian American,College,<25K,South,Airport Hotels,2016-05-02,2016-05-04,2015-10-17,2,2,1,BB,No,No,Non-Refundable,Direct,No,Check-In,Yes,20,235
F,21,Latino,College,25K --50K,South,Airport Hotels,2016-03-07,2016-03-09,2016-01-03,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,166
F,33,African American,High-School,50K -- 100K,West,Airport Hotels,2016-04-13,2016-04-15,2016-03-31,5,1,2,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,127
F,19,African American,Mid-School,50K -- 100K,North,City Hotel,2016-04-04,2016-04-07,2016-03-11,1,2,1,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,20,205
F,21,Asian American,College,25K --50K,North,City Hotel,2016-04-16,2016-04-18,2015-12-27,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,111
M,44,Asian American,College,25K --50K,South,Airport Hotels,2016-04-16,2016-04-17,2015-12-26,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,131
F,18,African American,Grad,25K --50K,North,Airport Hotels,2016-01-19,2016-01-20,2015-08-05,1,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,135
F,24,Asian American,Grad,25K --50K,South,City Hotel,2016-01-19,2016-01-22,2015-08-07,5,1,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,210
F,39,caucasian,High-School,25K --50K,North,City Hotel,2016-01-19,2016-01-20,2015-08-05,3,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,5,166
M,61,Asian American,Grad,>100K,South,Airport Hotels,2016-01-19,2016-01-20,2015-08-05,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,20,225
M,52,African American,College,>100K,South,Resort,2016-01-19,2016-01-20,2015-08-05,5,3,2,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,15,210
F,64,Latino,College,50K -- 100K,South,Airport Hotels,2016-01-19,2016-01-20,2015-08-05,4,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,25,100
F,70,African American,College,50K -- 100K,North,City Hotel,2016-01-19,2016-01-20,2015-08-05,3,2,0,BB,No,No,Refundable,Online,No,Check-In,No,0,190
M,30,Latino,College,>100K,West,City Hotel,2016-01-19,2016-01-20,2015-08-05,5,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,139
M,49,Asian American,Grad,25K --50K,West,City Hotel,2016-01-19,2016-01-21,2015-08-06,3,2,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,175
F,60,Asian American,College,>100K,South,City Hotel,2016-05-02,2016-05-04,2015-10-11,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,101
F,23,Asian American,College,>100K,South,City Hotel,2016-01-19,2016-01-20,2015-08-05,1,2,0,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,5,220
M,21,African American,College,50K -- 100K,West,City Hotel,2016-01-19,2016-01-20,2015-08-05,1,3,1,BB,No,No,No Deposit,Online,No,Check-In,No,0,153
F,19,caucasian,Grad,>100K,South,Resort,2016-01-19,2016-01-23,2015-08-08,3,1,1,BB,No,No,No Deposit,Direct,No,Check-In,Yes,5,228
M,47,Asian American,College,25K --50K,North,City Hotel,2016-01-19,2016-01-21,2015-08-06,1,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,25,221
F,63,caucasian,College,25K --50K,North,Airport Hotels,2016-01-19,2016-01-22,2015-08-07,2,3,0,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,10,123
M,53,Asian American,Mid-School,25K --50K,West,City Hotel,2016-01-19,2016-01-22,2015-08-07,1,2,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,187
F,66,Latino,College,<25K,North,Airport Hotels,2016-04-09,2016-04-11,2016-02-28,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,108
M,46,Asian American,College,>100K,South,City Hotel,2016-01-19,2016-01-21,2015-08-06,2,2,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,10,151
F,21,Latino,Grad,25K --50K,West,Resort,2016-01-19,2016-01-20,2015-08-05,2,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,236
F,55,Latino,College,<25K,North,Airport Hotels,2016-01-19,2016-01-21,2015-08-06,2,3,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,119
F,65,Asian American,Grad,50K -- 100K,East,Resort,2016-01-19,2016-01-21,2015-08-06,3,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,110
F,21,Asian American,High-School,50K -- 100K,East,Resort,2016-01-19,2016-01-23,2015-08-08,3,2,1,BB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,15,217
M,33,caucasian,College,50K -- 100K,East,City Hotel,2016-01-19,2016-01-20,2015-08-05,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,166
M,68,Latino,High-School,<25K,South,City Hotel,2016-01-19,2016-01-23,2015-08-08,3,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,237
M,25,Asian American,Mid-School,<25K,South,City Hotel,2016-01-19,2016-01-22,2015-08-07,5,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,40,215
F,36,caucasian,College,50K -- 100K,North,Airport Hotels,2016-01-19,2016-01-20,2015-08-05,2,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,197
M,25,Asian American,Grad,<25K,West,Airport Hotels,2016-03-19,2016-03-23,2016-02-11,2,1,2,BB,Yes,No,Refundable,Online,No,Check-In,Yes,25,170
F,62,caucasian,Mid-School,50K -- 100K,South,Airport Hotels,2016-04-27,2016-04-30,2016-04-16,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,15,128
F,37,caucasian,College,50K -- 100K,North,Airport Hotels,2016-04-29,2016-05-02,2016-05-01,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,No,0,220
M,24,caucasian,Grad,>100K,North,City Hotel,2016-04-29,2016-04-30,2016-04-30,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,102
M,70,caucasian,College,<25K,South,Airport Hotels,2016-04-29,2016-04-30,2016-04-29,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,171
M,38,African American,College,>100K,East,Resort,2016-04-22,2016-04-23,2016-04-16,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,15,104
F,47,Latino,College,>100K,South,Airport Hotels,2016-04-02,2016-04-06,2016-02-01,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,30,170
M,52,Asian American,College,50K -- 100K,South,City Hotel,2016-04-16,2016-04-19,2016-04-06,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,112
M,38,Latino,College,50K -- 100K,East,City Hotel,2016-04-04,2016-04-05,2015-12-13,2,2,1,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,118
M,59,caucasian,College,25K --50K,West,Airport Hotels,2016-04-15,2016-04-16,2016-03-13,1,3,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,238
F,70,Latino,High-School,<25K,South,City Hotel,2016-04-08,2016-04-09,2016-03-15,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,30,147
F,29,Asian American,College,<25K,North,Resort,2016-04-16,2016-04-19,2016-03-24,5,2,0,BB,No,No,Non-Refundable,Direct,No,Check-In,Yes,20,115
F,53,Asian American,Grad,25K --50K,South,Airport Hotels,2016-01-19,2016-01-22,2015-10-12,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,179
F,19,African American,High-School,>100K,South,Airport Hotels,2016-03-16,2016-03-18,2016-01-28,3,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,181
F,66,African American,College,50K -- 100K,North,City Hotel,2016-04-17,2016-04-18,2016-03-02,3,1,0,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,30,155
F,47,Latino,High-School,50K -- 100K,North,Airport Hotels,2016-03-26,2016-03-27,2015-09-10,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,109
F,30,Asian American,High-School,>100K,South,City Hotel,2016-01-13,2016-01-15,2015-09-23,5,3,2,BB,Yes,No,Non-Refundable,Direct,Yes,Check-In,Yes,20,190
M,38,Asian American,College,<25K,North,Resort,2016-04-04,2016-04-06,2015-12-27,2,1,0,BB,No,No,No Deposit,Direct,No,Check-In,No,0,207
M,25,Latino,College,50K -- 100K,South,Airport Hotels,2016-04-06,2016-04-09,2016-03-09,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,40,240
M,27,caucasian,High-School,>100K,East,Airport Hotels,2016-03-29,2016-03-30,2015-12-05,1,2,1,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,249
F,39,Latino,Grad,50K -- 100K,East,Resort,2016-04-17,2016-04-18,2016-03-20,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,191
M,52,Asian American,College,25K --50K,North,Resort,2016-02-12,2016-02-16,2015-10-31,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,234
F,66,Asian American,Mid-School,50K -- 100K,West,Resort,2016-02-12,2016-02-15,2015-10-30,4,1,0,HB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,40,230
F,21,African American,High-School,25K --50K,South,City Hotel,2016-02-12,2016-02-13,2015-10-28,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,170
M,57,African American,Grad,>100K,North,City Hotel,2016-02-12,2016-02-14,2015-10-29,4,3,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,245
M,45,Asian American,High-School,>100K,South,Airport Hotels,2016-03-13,2016-03-14,2016-01-22,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,133
F,61,caucasian,College,50K -- 100K,South,Resort,2016-02-12,2016-02-14,2015-10-29,3,1,0,HB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,20,115
M,66,African American,Mid-School,<25K,North,Airport Hotels,2016-02-12,2016-02-14,2015-10-29,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,10,113
F,24,Latino,College,50K -- 100K,South,City Hotel,2016-02-12,2016-02-13,2015-10-28,4,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,235
M,63,Asian American,High-School,<25K,West,Resort,2016-04-28,2016-04-29,2015-12-04,2,1,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,5,219
F,21,Asian American,College,>100K,South,City Hotel,2016-02-12,2016-02-15,2015-10-30,3,3,0,HB,Yes,No,Refundable,Online,Yes,Check-In,Yes,20,150
M,37,Latino,College,50K -- 100K,South,Airport Hotels,2016-02-12,2016-02-14,2015-10-29,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,116
F,26,Latino,College,50K -- 100K,South,City Hotel,2016-04-28,2016-04-29,2016-04-19,2,1,0,HB,No,No,No Deposit,Online,No,Check-In,No,0,240
M,25,African American,Grad,>100K,South,Airport Hotels,2016-02-12,2016-02-13,2015-10-28,5,2,0,HB,Yes,No,No Deposit,Agent,No,Check-In,Yes,40,120
F,40,Latino,Grad,>100K,East,Airport Hotels,2016-04-28,2016-04-30,2015-12-05,1,2,1,BB,Yes,No,Non-Refundable,Direct,Yes,Check-In,Yes,25,146
F,60,caucasian,College,<25K,North,City Hotel,2016-02-12,2016-02-15,2015-10-30,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,217
F,31,caucasian,Grad,25K --50K,North,Resort,2016-03-28,2016-03-30,2015-12-20,3,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,105
M,38,Latino,Grad,25K --50K,South,Airport Hotels,2016-03-01,2016-03-02,2015-12-06,2,3,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,120
F,30,Asian American,High-School,50K -- 100K,North,Resort,2016-04-13,2016-04-17,2016-01-21,3,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,20,141
M,25,Latino,Grad,>100K,South,Resort,2016-03-28,2016-03-31,2015-12-21,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,142
F,39,caucasian,Mid-School,25K --50K,North,City Hotel,2016-04-13,2016-04-15,2016-03-09,2,1,0,BB,No,No,Refundable,Direct,No,Check-In,Yes,20,157
M,61,Latino,College,50K -- 100K,South,Airport Hotels,2016-04-13,2016-04-14,2016-01-18,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,159
F,22,caucasian,High-School,>100K,North,Airport Hotels,2016-03-01,2016-03-02,2015-12-06,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,220
F,34,Latino,College,<25K,West,Airport Hotels,2016-03-01,2016-03-03,2015-12-07,1,1,0,BB,No,No,Non-Refundable,Direct,No,Check-In,Yes,15,164
F,62,caucasian,College,25K --50K,South,Resort,2016-03-01,2016-03-03,2015-12-07,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,184
M,47,Asian American,College,50K -- 100K,East,Resort,2016-03-01,2016-03-05,2015-12-09,2,1,0,BB,No,No,No Deposit,Agent,No,Check-In,No,0,102
M,24,African American,College,25K --50K,South,Airport Hotels,2016-03-28,2016-03-29,2015-12-19,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,130
M,58,African American,Mid-School,>100K,South,Airport Hotels,2016-03-28,2016-03-29,2015-12-19,3,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-In,Yes,25,151
M,69,caucasian,College,50K -- 100K,East,Airport Hotels,2016-03-28,2016-03-29,2015-12-19,2,1,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,141
M,61,Latino,College,25K --50K,North,Airport Hotels,2016-03-01,2016-03-02,2015-12-06,1,2,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,25,120
F,57,Latino,College,25K --50K,North,Airport Hotels,2016-03-01,2016-03-04,2015-12-08,2,3,1,BB,Yes,No,Non-Refundable,Direct,Yes,Check-In,Yes,5,245
F,67,African American,College,50K -- 100K,South,Airport Hotels,2016-03-01,2016-03-02,2015-12-06,4,1,1,BB,No,No,No Deposit,Agent,No,Check-In,Yes,30,178
F,23,Latino,Grad,50K -- 100K,East,Resort,2016-04-13,2016-04-16,2016-01-20,1,3,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,192
F,25,African American,Grad,<25K,South,City Hotel,2016-04-13,2016-04-14,2016-01-18,2,2,2,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,224
M,53,Latino,Grad,25K --50K,South,Resort,2016-04-13,2016-04-14,2016-01-18,3,1,1,BB,No,No,Non-Refundable,Direct,Yes,Check-In,Yes,5,195
M,67,African American,College,25K --50K,North,Resort,2016-04-13,2016-04-14,2016-01-18,1,1,0,BB,No,No,No Deposit,Online,No,Check-In,No,0,106
M,34,Asian American,College,50K -- 100K,South,Airport Hotels,2016-04-13,2016-04-14,2016-03-08,3,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,194
M,31,Asian American,College,50K -- 100K,South,Airport Hotels,2016-03-01,2016-03-04,2015-12-08,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,155
M,50,caucasian,College,>100K,South,Airport Hotels,2016-03-01,2016-03-02,2015-12-06,2,1,1,BB,Yes,Yes,Refundable,Online,No,Check-In,Yes,5,194
M,19,Asian American,College,<25K,North,City Hotel,2016-04-09,2016-04-10,2016-01-25,1,2,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,30,163
M,46,Asian American,Mid-School,<25K,North,Airport Hotels,2016-04-15,2016-04-18,2016-01-31,2,2,0,BB,Yes,Yes,Non-Refundable,Online,No,Check-In,No,0,227
F,24,African American,College,50K -- 100K,East,Airport Hotels,2016-01-05,2016-01-07,2015-08-03,5,3,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,193
F,65,Asian American,Grad,25K --50K,South,City Hotel,2016-01-05,2016-01-09,2015-08-05,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,20,220
M,40,Asian American,Mid-School,25K --50K,South,Resort,2016-01-05,2016-01-06,2015-08-02,2,3,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,5,210
M,65,caucasian,Mid-School,>100K,South,Resort,2016-04-30,2016-05-03,2016-05-03,2,3,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,142
M,37,caucasian,College,<25K,North,Resort,2016-04-17,2016-04-21,2016-04-07,5,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,126
M,44,Asian American,College,25K --50K,East,City Hotel,2016-04-30,2016-05-01,2016-04-28,2,1,0,BB,Yes,No,Refundable,Agent,No,Check-In,No,0,232
M,52,Asian American,College,25K --50K,South,City Hotel,2016-04-27,2016-05-01,2016-04-12,2,1,0,BB,No,No,No Deposit,Direct,No,Check-In,No,0,230
M,18,Latino,College,50K -- 100K,East,Resort,2016-04-30,2016-05-01,2016-05-01,4,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,120
M,25,caucasian,College,50K -- 100K,North,Resort,2016-04-26,2016-04-29,2016-03-28,1,2,0,BB,No,No,Refundable,Direct,No,Check-In,Yes,10,151
F,50,Latino,High-School,>100K,East,City Hotel,2016-05-02,2016-05-05,2015-10-21,2,3,0,HB,No,No,No Deposit,Agent,Yes,Check-In,Yes,25,249
M,32,Latino,Grad,25K --50K,South,Airport Hotels,2016-03-30,2016-04-01,2016-02-22,2,2,0,HB,No,No,Refundable,Agent,Yes,Check-In,No,0,219
M,21,Latino,College,50K -- 100K,East,Airport Hotels,2016-04-18,2016-04-19,2016-03-31,3,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,224
